ver:"3.0"
id,dis,point,airInsights,siteRef,equipRef,tz,kind,his,unit,type,sensorId,tenantId,i_streaming_enabled,default
@6e19f7d9-e328-482a-850d-84476d2bcbe3,"A81758FFFE053FDB-Humidity",M,M,@070872ef-454b-4fff-9962-31d6dd7572e9 "070872ef-454b-4fff-9962-31d6dd7572e9",@2a1a05df-2cae-46cf-be44-30addf80d4e1 "2a1a05df-2cae-46cf-be44-30addf80d4e1","Amsterdam","Number",M,"%RH","humidity","urn:dev:DEVEUI:A81758FFFE053FDB:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",,
@a8bb0d4b-2976-4a90-aeaa-46a77363a332,"A81758FFFE053FD7",M,M,@070872ef-454b-4fff-9962-31d6dd7572e9 "070872ef-454b-4fff-9962-31d6dd7572e9",@387dd5b2-1f2e-4014-b6ff-eaa42388ec06 "387dd5b2-1f2e-4014-b6ff-eaa42388ec06","Amsterdam","Number",M,"ppm","CO2","urn:dev:DEVEUI:A81758FFFE053FD7:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",,
@e8378485-2dc5-45c5-adfe-e618257c5a9c,"A81758FFFE053FD7-Temp",M,M,@070872ef-454b-4fff-9962-31d6dd7572e9 "070872ef-454b-4fff-9962-31d6dd7572e9",@387dd5b2-1f2e-4014-b6ff-eaa42388ec06 "387dd5b2-1f2e-4014-b6ff-eaa42388ec06","Amsterdam","Number",M,"C","temperature","urn:dev:DEVEUI:A81758FFFE053FD7:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",,
@7a8616a4-e5aa-4561-baad-f2b98f3c6b6f,"A81758FFFE053FD7-Humidity",M,M,@070872ef-454b-4fff-9962-31d6dd7572e9 "070872ef-454b-4fff-9962-31d6dd7572e9",@387dd5b2-1f2e-4014-b6ff-eaa42388ec06 "387dd5b2-1f2e-4014-b6ff-eaa42388ec06","Amsterdam","Number",M,"%RH","humidity","urn:dev:DEVEUI:A81758FFFE053FD7:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",,
@db192bde-3fbf-4cc4-be7a-a772a6a58258,"A81758FFFE053FD6",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"ppm","CO2","urn:dev:DEVEUI:A81758FFFE053FD6:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@5f493101-1ca9-4813-a31c-745db9ac600b,"A81758FFFE053FD6-Temp",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"C","temperature","urn:dev:DEVEUI:A81758FFFE053FD6:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@577aa2ab-2d8b-4047-a03b-da04ccb64921,"A81758FFFE053FD6-Humidity",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"%RH","humidity","urn:dev:DEVEUI:A81758FFFE053FD6:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@61832749-bc63-40e6-aa6f-12ef198ef6c0,"A81758FFFE053FD5",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"ppm","CO2","urn:dev:DEVEUI:A81758FFFE053FD5:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@50b38557-c975-46e7-8a47-8725c95ad04b,"A81758FFFE053FD5-Temp",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"C","temperature","urn:dev:DEVEUI:A81758FFFE053FD5:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@da328b9d-7056-4d09-b184-f43647b4c3a5,"A81758FFFE053FD5-Humidity",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"%RH","humidity","urn:dev:DEVEUI:A81758FFFE053FD5:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
